Rank,Title,Year,Rating,Run Time (min),Genre
803,First Blood,1982,7.7,93,"Action, Adventure, Thriller"
804,A Few Good Men,1992,7.7,138,"Drama, Thriller"
805,Apollo 13(I),I 1995,7.7,140,"Adventure, Drama, History"
806,Training Day,2001,7.7,122,"Action, Crime, Drama"
807,Toy Story 4,2019,7.7,100,"Animation, Adventure, Comedy"
808,Silver Linings Playbook,2012,7.7,122,"Comedy, Drama, Romance"
809,Mr. Nobody,2009,7.7,141,"Drama, Fantasy, Romance"
810,En man som heter Ove,2015,7.7,116,"Comedy, Drama, Romance"
811,Who Framed Roger Rabbit,1988,7.7,104,"Animation, Adventure, Comedy"
812,Sense and Sensibility,1995,7.7,136,"Drama, Romance"
813,Midnight in Paris,2011,7.7,94,"Comedy, Fantasy, Romance"
814,The Boondock Saints,1999,7.7,108,"Action, Thriller"
815,Halloween,1978,7.7,91,"Horror, Thriller"
816,The Machinist,2004,7.7,101,"Drama, Thriller"
817,Wreck-It Ralph,2012,7.7,101,"Animation, Adventure, Comedy"
818,"O Brother, Where Art Thou?",2000,7.7,107,"Adventure, Comedy, Crime"
819,Gravity,2013,7.7,91,"Drama, Sci-Fi, Thriller"
820,The Trial of the Chicago 7,2020,7.7,129,"Drama, History, Thriller"
821,Being John Malkovich,1999,7.7,113,"Comedy, Drama, Fantasy"
822,Serpico,1973,7.7,130,"Biography, Crime, Drama"
823,Dirty Harry,1971,7.7,102,"Action, Crime, Thriller"
824,The Fault in Our Stars,2014,7.7,126,"Drama, Romance"
825,The Theory of Everything,2014,7.7,123,"Biography, Drama, Romance"
826,Sound of Metal,2019,7.7,120,"Drama, Music"
827,Adaptation.,2002,7.7,115,"Comedy, Drama"
828,Donnie Brasco,1997,7.7,127,"Biography, Crime, Drama"
829,3:10 to Yuma,2007,7.7,122,"Action, Crime, Drama"
830,Naked,1993,7.7,131,"Comedy, Drama"
831,Star Trek Into Darkness,2013,7.7,132,"Action, Adventure, Sci-Fi"
832,Clerks,1994,7.7,92,Comedy
833,When Harry Met Sally...,1989,7.7,95,"Comedy, Drama, Romance"
834,The Color Purple,1985,7.7,154,Drama
835,Glengarry Glen Ross,1992,7.7,100,"Crime, Drama, Mystery"
836,"South Park: Bigger, Longer & Uncut",1999,7.7,81,"Animation, Comedy, Fantasy"
837,Fried Green Tomatoes,1991,7.7,130,Drama
838,Der Name der Rose,1986,7.7,130,"Drama, Mystery, Thriller"
839,Philadelphia,1993,7.7,125,Drama
840,Hamlet,1996,7.7,242,Drama
841,The Last Emperor,1987,7.7,163,"Biography, Drama, History"
842,Roma,2018,7.7,135,Drama
843,Star Trek II: The Wrath of Khan,1982,7.7,113,"Action, Adventure, Sci-Fi"
844,The French Connection,1971,7.7,104,"Action, Crime, Drama"
845,Kung fu,2004,7.7,99,"Action, Comedy, Fantasy"
846,Goldfinger,1964,7.7,110,"Action, Adventure, Thriller"
847,Paprika,2006,7.7,90,"Animation, Drama, Fantasy"
848,This Is England,2006,7.7,101,"Crime, Drama"
849,Ordinary People,1980,7.7,124,Drama
850,Flipped(I),I 2010,7.7,90,"Comedy, Drama, Romance"
851,Lucky Number Slevin,2006,7.7,110,"Crime, Drama, Thriller"
852,Malcolm X,1992,7.7,202,"Biography, Drama, History"
853,Kaze tachinu,2013,7.7,126,"Animation, Biography, Drama"
854,Ray(I),I 2004,7.7,152,"Biography, Drama, Music"
855,La grande bellezza,2013,7.7,141,Drama
856,The Verdict,1982,7.7,129,Drama
857,Finding Neverland,2004,7.7,106,"Biography, Drama, Family"
858,Belle de jour,1967,7.7,100,"Drama, Romance"
859,Billy Elliot,2000,7.7,110,"Drama, Music"
860,Miller's Crossing,1990,7.7,115,"Crime, Drama, Thriller"
861,Lola rennt,1998,7.7,81,"Action, Crime, Thriller"
862,Kubo and the Two Strings,2016,7.7,101,"Animation, Action, Adventure"
863,The Dirty Dozen,1967,7.7,150,"Action, Adventure, War"
864,The Longest Day,1962,7.7,178,"Action, Drama, History"
865,The African Queen,1951,7.7,105,"Adventure, Drama, Romance"
866,Fantasia,1940,7.7,124,"Animation, Family, Fantasy"
867,Nebraska,2013,7.7,115,Drama
868,Zwartboek,2006,7.7,145,"Drama, Thriller, War"
869,Key Largo,1948,7.7,100,"Action, Crime, Drama"
870,La planète sauvage,1973,7.7,72,"Animation, Sci-Fi"
871,The Quiet Man,1952,7.7,129,"Comedy, Drama, Romance"
872,Badlands,1973,7.7,94,"Action, Crime, Drama"
873,Waking Life,2001,7.7,99,"Animation, Drama, Fantasy"
874,Abre los ojos,1997,7.7,119,"Drama, Mystery, Sci-Fi"
875,À bout de souffle,1960,7.7,90,"Crime, Drama"
876,Beasts of No Nation,2015,7.7,137,"Drama, War"
877,Me and Earl and the Dying Girl,2015,7.7,105,"Comedy, Drama, Romance"
878,Short Cuts,1993,7.7,188,"Comedy, Drama"
879,Ajeossi,2010,7.7,119,"Action, Crime, Drama"
880,Black Narcissus,1947,7.7,101,Drama
881,Kurenai no buta,1992,7.7,94,"Animation, Adventure, Comedy"
882,Good Bye Lenin!,2003,7.7,121,"Comedy, Drama, Romance"
883,Zulu,1964,7.7,138,"Drama, History, War"
884,Chun gwong cha sit,1997,7.7,96,"Drama, Romance"
885,La double vie de Véronique,1991,7.7,98,"Drama, Fantasy, Music"
886,Spoorloos,1988,7.7,107,"Mystery, Thriller"
887,Perfetti sconosciuti,2016,7.7,96,"Comedy, Drama"
888,Le Petit Prince,2015,7.7,108,"Animation, Adventure, Drama"
889,Night on Earth,1991,7.7,129,"Comedy, Drama"
890,Lat sau san taam,1992,7.7,128,"Action, Crime, Thriller"
891,Invasion of the Body Snatchers,1956,7.7,80,"Drama, Horror, Sci-Fi"
892,Omoide no Marnie,2014,7.7,103,"Animation, Drama, Family"
893,The Caine Mutiny,1954,7.7,124,"Drama, War"
894,Diarios de motocicleta,2004,7.7,126,"Adventure, Biography, Drama"
895,Cape Fear,1962,7.7,106,"Drama, Thriller"
896,Scarface,1932,7.7,93,"Action, Crime, Drama"
897,Toki o kakeru shôjo,2006,7.7,98,"Animation, Adventure, Comedy"
898,Forushande,2016,7.7,124,"Drama, Thriller"
899,Kokuhaku,2010,7.7,106,"Drama, Thriller"
900,A Man for All Seasons,1966,7.7,120,"Biography, Drama, History"
901,Hedwig and the Angry Inch,2001,7.7,95,"Comedy, Drama, Music"
902,Les triplettes de Belleville,2003,7.7,80,"Animation, Adventure, Comedy"
903,Ondskan,2003,7.7,113,Drama
904,Adams æbler,2005,7.7,94,"Comedy, Crime, Drama"
905,Yume,1990,7.7,119,"Drama, Fantasy"
906,The Broken Circle Breakdown,2012,7.7,111,"Drama, Music, Romance"
907,Frost/Nixon,2008,7.7,122,"Biography, Drama, History"
908,Ta'm e guilass,1997,7.7,95,Drama
909,Das Experiment,2001,7.7,120,"Drama, Thriller"
910,Down by Law,1986,7.7,107,"Comedy, Crime, Drama"
911,Hana-bi,1997,7.7,103,"Crime, Drama, Romance"
912,The Magdalene Sisters,2002,7.7,114,Drama
913,Efter brylluppet,2006,7.7,120,Drama
914,In America,2002,7.7,105,Drama
915,Gongdong gyeongbi guyeok JSA,2000,7.7,110,"Action, Drama, Thriller"
916,Jules et Jim,1962,7.7,105,"Drama, Romance"
917,Love and Death,1975,7.7,85,"Comedy, War"
918,The Breadwinner,2017,7.7,94,"Animation, Drama, Family"
919,The Purple Rose of Cairo,1985,7.7,82,"Comedy, Fantasy, Romance"
920,Ma vie de Courgette,2016,7.7,66,"Animation, Comedy, Drama"
921,Le passé,2013,7.7,130,"Drama, Mystery"
922,The Muppet Christmas Carol,1992,7.7,85,"Comedy, Drama, Family"
923,Zelig,1983,7.7,79,Comedy
924,Auf der anderen Seite,2007,7.7,122,Drama
925,Harry Potter and the Sorcerer's Stone,2001,7.6,152,"Adventure, Family, Fantasy"
926,Once Upon a Time in... Hollywood,2019,7.6,161,"Comedy, Drama"
927,American Psycho,2000,7.6,102,"Crime, Drama, Horror"
928,Inside Man,2006,7.6,129,"Crime, Drama, Mystery"
929,My Cousin Vinny,1992,7.6,120,"Comedy, Crime"
930,The Others,2001,7.6,101,"Horror, Mystery, Thriller"
931,The Fifth Element,1997,7.6,126,"Action, Adventure, Sci-Fi"
932,Office Space,1999,7.6,89,Comedy
933,The Birds,1963,7.6,119,"Drama, Horror, Mystery"
934,Moana(I),I 2016,7.6,107,"Animation, Adventure, Comedy"
935,Superbad,2007,7.6,113,Comedy
936,Sicario,2015,7.6,121,"Action, Crime, Drama"
937,Guardians of the Galaxy Vol. 2,2017,7.6,136,"Action, Adventure, Comedy"
938,Deadpool 2,2018,7.6,119,"Action, Adventure, Comedy"
939,Moneyball,2011,7.6,133,"Biography, Drama, Sport"
940,Star Wars: Episode III - Revenge of the Sith,2005,7.6,140,"Action, Adventure, Fantasy"
941,Watchmen,2009,7.6,162,"Action, Drama, Mystery"
942,300,2006,7.6,117,"Action, Drama"
943,Saw,2004,7.6,103,"Horror, Mystery, Thriller"
944,The Blind Side,2009,7.6,129,"Biography, Drama, Sport"
945,Kick-Ass,2010,7.6,117,"Action, Comedy, Crime"
946,Lethal Weapon,1987,7.6,109,"Action, Crime, Thriller"
947,After Hours(I),I 1985,7.6,97,"Comedy, Crime, Drama"
948,Stardust,2007,7.6,127,"Adventure, Family, Fantasy"
949,Searching(III),III 2018,7.6,102,"Drama, Mystery, Thriller"
950,Dawn of the Planet of the Apes,2014,7.6,130,"Action, Adventure, Drama"
951,The Thin Red Line,1998,7.6,170,"Drama, History, War"
952,A Star Is Born,2018,7.6,136,"Drama, Music, Romance"
953,The Butterfly Effect,2004,7.6,113,"Drama, Sci-Fi, Thriller"
954,Hell or High Water(II),II 2016,7.6,102,"Crime, Drama, Thriller"
955,Kung Fu Panda,2008,7.6,92,"Animation, Action, Adventure"
956,RoboCop,1987,7.6,102,"Action, Crime, Sci-Fi"
957,Minority Report,2002,7.6,145,"Action, Crime, Mystery"
958,The Fly,1986,7.6,96,"Drama, Horror, Sci-Fi"
959,Mulan,1998,7.6,87,"Animation, Adventure, Comedy"
960,The Royal Tenenbaums,2001,7.6,110,"Comedy, Drama"
961,Gone Baby Gone,2007,7.6,114,"Crime, Drama, Mystery"
962,Despicable Me,2010,7.6,95,"Animation, Adventure, Comedy"
963,Serbuan maut,2011,7.6,101,"Action, Crime, Thriller"
964,Eastern Promises,2007,7.6,100,"Crime, Drama, Thriller"
965,Dark City,1998,7.6,100,"Fantasy, Mystery, Sci-Fi"
966,What We Do in the Shadows,2014,7.6,86,"Comedy, Horror"
967,End of Watch,2012,7.6,109,"Action, Adventure, Crime"
968,True Grit,2010,7.6,110,"Drama, Western"
969,Mad Max 2,1981,7.6,96,"Action, Adventure, Sci-Fi"
970,Rebel Without a Cause,1955,7.6,111,Drama
971,The Mitchells vs the Machines,2021,7.6,114,"Animation, Adventure, Comedy"
972,Enter the Dragon,1973,7.6,102,"Action, Crime, Drama"
973,Rushmore,1998,7.6,93,"Comedy, Drama, Romance"
974,The Naked Gun: From the Files of Police Squad!,1988,7.6,85,"Comedy, Crime"
975,La piel que habito,2011,7.6,120,"Drama, Horror, Mystery"
976,The Jungle Book,1967,7.6,78,"Animation, Adventure, Comedy"
977,Dark Waters,2019,7.6,126,"Biography, Drama, History"
978,Match Point,2005,7.6,124,"Drama, Romance, Thriller"
979,Die Hard with a Vengeance,1995,7.6,128,"Action, Adventure, Thriller"
