Rank,Title,Year,Rating,Run Time (min),Genre
128,Double Indemnity,1944,8.3,107,"Crime, Drama, Film-Noir"
129,Taare Zameen Par,2007,8.3,165,"Drama, Family"
130,Ladri di biciclette,1948,8.3,89,Drama
131,K.G.F: Chapter 2,2022,8.3,168,"Action, Crime, Drama"
132,Vikram,2022,8.3,175,"Action, Crime, Thriller"
133,Ratsasan,2018,8.3,170,"Action, Crime, Drama"
134,The Kid,1921,8.3,68,"Comedy, Drama, Family"
135,Shershaah,2021,8.3,135,"Action, Biography, Drama"
136,Ayla: The Daughter of War,2017,8.3,125,"Biography, Drama, History"
137,Chhichhore,2019,8.3,143,"Comedy, Drama, Romance"
138,Drishyam,2013,8.3,160,"Crime, Drama, Thriller"
139,John Wick: Chapter 4,2023,8.2,169,"Action, Crime, Thriller"
140,The Wolf of Wall Street,2013,8.2,180,"Biography, Comedy, Crime"
141,Spider-Man: No Way Home,2021,8.2,148,"Action, Adventure, Fantasy"
142,Jurassic Park,1993,8.2,127,"Action, Adventure, Sci-Fi"
143,Taxi Driver,1976,8.2,114,"Crime, Drama"
144,No Country for Old Men,2007,8.2,122,"Crime, Drama, Thriller"
145,Shutter Island,2010,8.2,138,"Mystery, Thriller"
146,Kill Bill: Vol. 1,2003,8.2,111,"Action, Crime, Drama"
147,Green Book,2018,8.2,130,"Biography, Comedy, Drama"
148,The Thing,1982,8.2,109,"Horror, Mystery, Sci-Fi"
149,The Sixth Sense,1999,8.2,107,"Drama, Mystery, Thriller"
150,The Truman Show,1998,8.2,103,"Comedy, Drama"
151,There Will Be Blood,2007,8.2,158,Drama
152,Casino,1995,8.2,178,"Crime, Drama"
153,Snatch,2000,8.2,104,"Comedy, Crime"
154,1917,2019,8.2,119,"Action, Drama, War"
155,Batman Begins,2005,8.2,140,"Action, Crime, Drama"
156,Hauru no ugoku shiro,2004,8.2,119,"Animation, Adventure, Family"
157,Unforgiven,1992,8.2,130,"Drama, Western"
158,Finding Nemo,2003,8.2,100,"Animation, Adventure, Comedy"
159,L.A. Confidential,1997,8.2,138,"Crime, Drama, Mystery"
160,A Beautiful Mind,2001,8.2,135,"Biography, Drama"
161,Indiana Jones and the Last Crusade,1989,8.2,127,"Action, Adventure"
162,Die Hard,1988,8.2,132,"Action, Thriller"
163,V for Vendetta,2005,8.2,132,"Action, Drama, Sci-Fi"
164,The Father(I),I 2020,8.2,97,"Drama, Mystery"
165,Pan's Labyrinth,2006,8.2,118,"Drama, Fantasy, War"
166,Chinatown,1974,8.2,130,"Drama, Mystery, Thriller"
167,Gone with the Wind,1939,8.2,238,"Drama, Romance, War"
168,Warrior,2011,8.2,140,"Action, Drama, Sport"
169,Der Untergang,2004,8.2,156,"Biography, Drama, History"
170,Kimetsu no Yaiba: Mugen Ressha-Hen,2020,8.2,117,"Animation, Action, Adventure"
171,Monty Python and the Holy Grail,1975,8.2,91,"Adventure, Comedy, Fantasy"
172,The Elephant Man,1980,8.2,124,"Biography, Drama"
173,Some Like It Hot,1959,8.2,121,"Comedy, Music, Romance"
174,Ran,1985,8.2,162,"Action, Drama, War"
175,El secreto de sus ojos,2009,8.2,129,"Drama, Mystery, Romance"
176,The Great Escape,1963,8.2,172,"Adventure, Drama, History"
177,Per qualche dollaro in più,1965,8.2,132,"Drama, Western"
178,Tumbbad,2018,8.2,104,"Drama, Fantasy, Horror"
179,Dial M for Murder,1954,8.2,105,"Crime, Thriller"
180,Drishyam 2,2022,8.2,140,"Crime, Drama, Mystery"
181,All About Eve,1950,8.2,138,Drama
182,The Treasure of the Sierra Madre,1948,8.2,126,"Adventure, Drama, Western"
183,Klaus,2019,8.2,96,"Animation, Adventure, Comedy"
184,Rashômon,1950,8.2,88,"Crime, Drama, Mystery"
185,Miracle in Cell No. 7,2019,8.2,132,Drama
186,Yôjinbô,1961,8.2,110,"Action, Drama, Thriller"
187,Andhadhun,2018,8.2,139,"Crime, Mystery, Thriller"
188,Drishyam,2015,8.2,163,"Crime, Drama, Mystery"
189,Tôkyô monogatari,1953,8.2,136,Drama
190,Zindagi Na Milegi Dobara,2011,8.2,155,"Comedy, Drama, Musical"
191,Bacheha-Ye aseman,1997,8.2,89,"Drama, Family, Sport"
192,Z,1969,8.2,127,"Crime, Drama, Thriller"
193,Rangasthalam,2018,8.2,170,"Action, Drama"
194,Le salaire de la peur,1953,8.2,131,"Adventure, Drama, Thriller"
195,K.G.F: Chapter 1,2018,8.2,156,"Action, Crime, Drama"
196,Dersu Uzala,1975,8.2,142,"Adventure, Biography, Drama"
197,"Swades: We, the People",2004,8.2,210,"Drama, Musical"
198,Babam ve Oglum,2005,8.2,112,"Drama, Family"
199,La passion de Jeanne d'Arc,1928,8.2,110,"Biography, Drama, History"
200,Pather Panchali,1955,8.2,125,Drama
201,To Be or Not to Be,1942,8.2,99,"Comedy, Romance, War"
202,Baahubali 2: The Conclusion,2017,8.2,167,"Action, Drama"
203,Gangs of Wasseypur,2012,8.2,321,"Action, Comedy, Crime"
204,Sherlock Jr.,1924,8.2,45,"Action, Comedy, Romance"
205,Vikram Vedha,2017,8.2,147,"Action, Crime, Drama"
206,Uri: The Surgical Strike,2019,8.2,138,"Action, Drama, History"
207,Umberto D.,1952,8.2,89,Drama
208,Bhaag Milkha Bhaag,2013,8.2,186,"Biography, Drama, Sport"
209,Paan Singh Tomar,2012,8.2,135,"Action, Biography, Crime"
210,The Big Lebowski,1998,8.1,117,"Comedy, Crime"
211,Prisoners,2013,8.1,153,"Crime, Drama, Mystery"
212,The Help,2011,8.1,146,Drama
213,Mad Max: Fury Road,2015,8.1,120,"Action, Adventure, Sci-Fi"
214,The Grand Budapest Hotel,2014,8.1,99,"Adventure, Comedy, Crime"
215,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,143,"Action, Adventure, Fantasy"
216,The Exorcist,1973,8.1,122,Horror
217,Blade Runner,1982,8.1,117,"Action, Drama, Sci-Fi"
218,Gone Girl,2014,8.1,149,"Drama, Mystery, Thriller"
219,Stand by Me,1986,8.1,89,"Adventure, Drama"
220,Rocky,1976,8.1,120,"Drama, Sport"
221,The Terminator,1984,8.1,107,"Action, Sci-Fi"
222,Catch Me If You Can,2002,8.1,141,"Biography, Crime, Drama"
223,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,130,"Adventure, Family, Fantasy"
224,Ford v Ferrari,2019,8.1,152,"Action, Biography, Drama"
225,Ah-ga-ssi,2016,8.1,145,"Drama, Romance, Thriller"
226,Hacksaw Ridge,2016,8.1,139,"Biography, Drama, History"
227,Ratatouille,2007,8.1,111,"Animation, Adventure, Comedy"
228,Cool Hand Luke,1967,8.1,127,"Crime, Drama"
229,How to Train Your Dragon,2010,8.1,98,"Animation, Action, Adventure"
230,Jaws,1975,8.1,124,"Adventure, Mystery, Thriller"
231,Trainspotting,1996,8.1,93,Drama
232,Dead Poets Society,1989,8.1,128,"Comedy, Drama"
233,Logan,2017,8.1,137,"Action, Drama, Sci-Fi"
234,Fargo,1996,8.1,98,"Crime, Thriller"
235,The Wizard of Oz,1939,8.1,102,"Adventure, Family, Fantasy"
236,"Three Billboards Outside Ebbing, Missouri",2017,8.1,115,"Comedy, Crime, Drama"
237,Inside Out(I),I 2015,8.1,95,"Animation, Adventure, Comedy"
238,"Lock, Stock and Two Smoking Barrels",1998,8.1,107,"Action, Comedy, Crime"
239,Gran Torino,2008,8.1,116,Drama
240,Into the Wild,2007,8.1,148,"Adventure, Biography, Drama"
241,The Sound of Music,1965,8.1,172,"Biography, Drama, Family"
242,Room(I),I 2015,8.1,118,"Drama, Thriller"
243,Salinui chueok,2003,8.1,131,"Crime, Drama, Mystery"
244,Spotlight(I),I 2015,8.1,129,"Biography, Crime, Drama"
245,Ben-Hur,1959,8.1,212,"Adventure, Drama"
246,"Monsters, Inc.",2001,8.1,92,"Animation, Adventure, Comedy"
247,The Deer Hunter,1978,8.1,183,"Drama, War"
248,Raging Bull,1980,8.1,129,"Biography, Drama, Sport"
249,Before Sunrise,1995,8.1,101,"Drama, Romance"
250,Stalker,1979,8.1,162,"Drama, Sci-Fi"
251,Platoon,1986,8.1,120,"Drama, War"
252,12 Years a Slave,2013,8.1,134,"Biography, Drama, History"
253,Portrait de la jeune fille en feu,2019,8.1,122,"Drama, Romance"
254,Rush(I),I 2013,8.1,123,"Action, Biography, Drama"
255,Barry Lyndon,1975,8.1,185,"Adventure, Drama, War"
256,Million Dollar Baby,2004,8.1,132,"Drama, Sport"
257,Tonari no Totoro,1988,8.1,86,"Animation, Comedy, Family"
258,Fa Yeung Nin Wah,2000,8.1,98,"Drama, Romance"
259,Koe no katachi,2016,8.1,130,"Animation, Drama"
260,Relatos salvajes,2014,8.1,122,"Comedy, Drama, Thriller"
261,La haine,1995,8.1,98,"Crime, Drama"
262,Hachi: A Dog's Tale,2009,8.1,93,"Biography, Drama, Family"
263,"Paris, Texas",1984,8.1,145,Drama
264,Network,1976,8.1,121,Drama
265,Before Sunset,2004,8.1,80,"Drama, Romance"
266,Det sjunde inseglet,1957,8.1,96,"Drama, Fantasy"
267,The Iron Giant,1999,8.1,86,"Animation, Action, Adventure"
268,In the Name of the Father,1993,8.1,133,"Biography, Crime, Drama"
269,All Quiet on the Western Front,1930,8.1,152,"Drama, War"
270,The Bridge on the River Kwai,1957,8.1,161,"Adventure, Drama, War"
271,Amores perros,2000,8.1,154,"Drama, Thriller"
272,Rebecca,1940,8.1,130,"Drama, Film-Noir, Mystery"
273,The Man Who Shot Liberty Valance,1962,8.1,123,"Drama, Western"
274,Hotel Rwanda,2004,8.1,121,"Biography, Drama, History"
275,Persona,1966,8.1,85,"Drama, Thriller"
276,The Third Man,1949,8.1,104,"Film-Noir, Mystery, Thriller"
277,On the Waterfront,1954,8.1,108,"Crime, Drama, Thriller"
278,Festen,1998,8.1,105,Drama
279,The Best Years of Our Lives,1946,8.1,170,"Drama, Romance, War"
280,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,8.1,87,"Animation, Action, Drama"
281,Mary and Max.,2009,8.1,92,"Animation, Comedy, Drama"
282,Trois couleurs: Rouge,1994,8.1,99,"Drama, Mystery, Romance"
283,The Message,1976,8.1,177,"Biography, Drama, History"
284,Paper Moon,1973,8.1,102,"Comedy, Crime, Drama"
285,The Grapes of Wrath,1940,8.1,129,Drama
286,Les quatre cents coups,1959,8.1,99,"Crime, Drama"
287,PK,2014,8.1,153,"Comedy, Drama, Sci-Fi"
288,It Happened One Night,1934,8.1,105,"Comedy, Romance"
289,Fanny och Alexander,1982,8.1,188,Drama
290,Yi yi,2000,8.1,173,"Drama, Romance"
291,Bajrangi Bhaijaan,2015,8.1,163,"Action, Adventure, Comedy"
292,Andrei Rublev,1966,8.1,205,"Biography, Drama, History"
293,Sunrise: A Song of Two Humans,1927,8.1,94,"Drama, Romance"
294,Smultronstället,1957,8.1,91,"Drama, Romance"
295,A Woman Under the Influence,1974,8.1,155,"Drama, Romance"
296,White Heat,1949,8.1,114,"Action, Crime, Drama"
297,Underground,1995,8.1,170,"Comedy, Drama, Fantasy"
298,Mr. Smith Goes to Washington,1939,8.1,129,"Comedy, Drama"
299,Ba wang bie ji,1993,8.1,171,"Drama, Music, Romance"
300,Ôkami kodomo no Ame to Yuki,2012,8.1,117,"Animation, Drama, Family"
301,Kis Uykusu,2014,8.1,196,Drama
302,The Red Shoes,1948,8.1,135,"Drama, Music, Romance"
303,La battaglia di Algeri,1966,8.1,121,"Drama, War"
304,The General,1926,8.1,67,"Action, Adventure, Comedy"
305,Lagaan: Once Upon a Time in India,2001,8.1,224,"Drama, Musical, Sport"
306,Les diaboliques,1955,8.1,117,"Crime, Drama, Horror"
307,Kakushi-toride no san-akunin,1958,8.1,139,"Action, Adventure, Drama"
308,The Gold Rush,1925,8.1,95,"Adventure, Comedy, Drama"
309,Kumonosu-jô,1957,8.1,110,Drama
310,Inherit the Wind,1960,8.1,128,"Biography, Drama, History"
311,Masaan,2015,8.1,109,Drama
312,Dil Chahta Hai,2001,8.1,183,"Comedy, Drama, Romance"
313,Jungfrukällan,1960,8.1,89,Drama
314,Le notti di Cabiria,1957,8.1,110,Drama
315,Dom za vesanje,1988,8.1,142,"Comedy, Crime, Drama"
316,Ace in the Hole,1951,8.1,111,"Drama, Film-Noir"
317,Da hong denglong gaogao gua,1991,8.1,125,"Drama, Romance"
318,A Wednesday,2008,8.1,104,"Action, Crime, Drama"
319,La Grande Illusion,1937,8.1,113,"Drama, War"
320,Rang De Basanti,2006,8.1,167,"Comedy, Crime, Drama"
321,Höstsonaten,1978,8.1,99,"Drama, Music"
322,Du rififi chez les hommes,1955,8.1,118,"Crime, Drama, Thriller"
323,Queen,2013,8.1,146,"Adventure, Comedy, Drama"
324,Barfi!,2012,8.1,151,"Comedy, Drama, Romance"
325,Talvar,2015,8.1,132,"Crime, Drama, Mystery"
326,Udaan,2010,8.1,134,Drama
327,Black,2005,8.1,122,Drama
328,Chak De! India,2007,8.1,153,"Drama, Family, Sport"
329,Pink(III),III 2016,8.1,136,"Crime, Drama, Thriller"
330,Mandariinid,2013,8.1,87,"Drama, War"
331,The Circus,1928,8.1,72,"Comedy, Family, Romance"
332,Jean de Florette,1986,8.1,120,"Comedy, Drama"
333,Article 15,2019,8.1,130,"Crime, Drama, Mystery"
334,Eskiya,1996,8.1,128,"Crime, Drama, Thriller"
335,Sarfarosh,1999,8.1,174,"Action, Drama, Thriller"
336,Sholay,1975,8.1,204,"Action, Adventure, Comedy"
337,Munna Bhai M.B.B.S.,2003,8.1,156,"Comedy, Drama"
338,Hera Pheri,2000,8.1,156,"Action, Comedy, Crime"
339,Kahaani,2012,8.1,122,"Mystery, Thriller"
340,OMG: Oh My God!,2012,8.1,125,"Comedy, Drama, Fantasy"
341,Anand,1971,8.1,122,"Drama, Musical"
342,Her Sey Çok Güzel Olacak,1998,8.1,107,"Comedy, Drama, Thriller"
343,Dune: Part One,2021,8.0,155,"Action, Adventure, Drama"
344,Blade Runner 2049,2017,8.0,164,"Action, Drama, Mystery"
345,Guardians of the Galaxy,2014,8.0,121,"Action, Adventure, Comedy"
346,Black Swan,2010,8.0,108,"Drama, Thriller"
347,The Princess Bride,1987,8.0,98,"Adventure, Comedy, Family"
348,Her,2013,8.0,126,"Drama, Romance, Sci-Fi"
349,Rio Bravo,1959,8.0,141,Western
350,Dog Day Afternoon,1975,8.0,125,"Biography, Crime, Drama"
351,The Martian,2015,8.0,144,"Adventure, Drama, Sci-Fi"
352,Donnie Darko,2001,8.0,113,"Drama, Mystery, Sci-Fi"
353,La La Land,2016,8.0,128,"Comedy, Drama, Music"
354,Deadpool,2016,8.0,108,"Action, Comedy"
355,Zootopia,2016,8.0,108,"Animation, Adventure, Comedy"
356,The Avengers,2012,8.0,143,"Action, Sci-Fi"
357,Zack Snyder's Justice League,2021,8.0,242,"Action, Adventure, Fantasy"
358,Sin City,2005,8.0,124,"Crime, Thriller"
359,The Incredibles,2004,8.0,115,"Animation, Action, Adventure"
360,Planet of the Apes,1968,8.0,112,"Adventure, Sci-Fi"
361,What Ever Happened to Baby Jane?,1962,8.0,134,"Drama, Horror, Thriller"
362,Casino Royale,2006,8.0,144,"Action, Adventure, Thriller"
363,CODA,2021,8.0,111,"Comedy, Drama, Music"
364,The Revenant,2015,8.0,156,"Action, Adventure, Drama"
365,The Pursuit of Happyness,2006,8.0,117,"Biography, Drama"
366,Who's Afraid of Virginia Woolf?,1966,8.0,131,Drama
367,The Bourne Ultimatum,2007,8.0,115,"Action, Mystery, Thriller"
368,Scent of a Woman,1992,8.0,156,Drama
369,The Imitation Game,2014,8.0,114,"Biography, Drama, Thriller"
370,The Graduate,1967,8.0,106,"Comedy, Drama, Romance"
371,Aladdin,1992,8.0,90,"Animation, Adventure, Comedy"
372,Groundhog Day,1993,8.0,101,"Comedy, Drama, Fantasy"
373,Dogville,2003,8.0,178,"Crime, Drama"
374,Twelve Monkeys,1995,8.0,129,"Mystery, Sci-Fi, Thriller"
375,The Maltese Falcon,1941,8.0,100,"Crime, Film-Noir, Mystery"
376,Rain Man,1988,8.0,133,Drama
377,Dances with Wolves,1990,8.0,181,"Adventure, Drama, Western"
378,Beauty and the Beast,1991,8.0,84,"Animation, Family, Fantasy"
379,Big Fish,2003,8.0,125,"Adventure, Drama, Fantasy"
380,Soul,2020,8.0,100,"Animation, Adventure, Comedy"
381,Kill Bill: Vol. 2,2004,8.0,137,"Action, Crime, Thriller"
382,Magnolia,1999,8.0,188,Drama
383,Rosemary's Baby,1968,8.0,137,"Drama, Horror"
384,Butch Cassidy and the Sundance Kid,1969,8.0,110,"Biography, Crime, Drama"
385,Blood Diamond,2006,8.0,143,"Adventure, Drama, Thriller"
386,Slumdog Millionaire,2008,8.0,120,"Crime, Drama, Romance"
387,Pâfekuto burû,1997,8.0,81,"Animation, Crime, Drama"
388,Life of Brian,1979,8.0,94,Comedy
389,Akira,1988,8.0,124,"Animation, Action, Drama"
390,JFK,1991,8.0,189,"Drama, History, Thriller"
391,Contratiempo,2016,8.0,106,"Crime, Drama, Mystery"
392,The King's Speech,2010,8.0,118,"Biography, Drama, History"
393,Do the Right Thing,1989,8.0,120,"Comedy, Drama"
394,Young Frankenstein,1974,8.0,106,Comedy
395,Lion,2016,8.0,118,"Biography, Drama"
396,Papillon,1973,8.0,151,"Biography, Crime, Drama"
397,Ip Man,2008,8.0,106,"Action, Biography, Drama"
398,Chung Hing sam lam,1994,8.0,102,"Comedy, Crime, Drama"
399,Annie Hall,1977,8.0,93,"Comedy, Romance"
400,Sling Blade,1996,8.0,135,Drama
401,Fiddler on the Roof,1971,8.0,181,"Drama, Family, Musical"
402,Bãhubali: The Beginning,2015,8.0,159,"Action, Drama"
403,Cinderella Man,2005,8.0,144,"Biography, Drama, Romance"
404,High Noon,1952,8.0,85,"Drama, Thriller, Western"
405,The Last Picture Show,1971,8.0,118,"Drama, Romance"
406,Roman Holiday,1953,8.0,118,"Comedy, Romance"
407,8½,1963,8.0,138,Drama
408,Tenkû no shiro Rapyuta,1986,8.0,125,"Animation, Adventure, Family"
409,Sweet Smell of Success,1957,8.0,96,"Drama, Film-Noir"
410,Pink Floyd: The Wall,1982,8.0,95,"Drama, Fantasy, Music"
411,Being There,1979,8.0,130,"Comedy, Drama"
412,Solaris,1972,8.0,167,"Drama, Mystery, Sci-Fi"
413,Kaze no tani no Naushika,1984,8.0,117,"Animation, Adventure, Sci-Fi"
414,La dolce vita,1960,8.0,174,"Comedy, Drama"
415,Mommy(I),I 2014,8.0,139,Drama
416,Der Himmel über Berlin,1987,8.0,128,"Drama, Fantasy, Romance"
417,Gandhi,1982,8.0,191,"Biography, Drama, History"
418,Das Cabinet des Dr. Caligari,1920,8.0,76,"Horror, Mystery, Thriller"
419,The Straight Story,1999,8.0,112,"Biography, Drama"
420,The Night of the Hunter,1955,8.0,92,"Crime, Drama, Film-Noir"
421,WolfWalkers,2020,8.0,103,"Animation, Action, Adventure"
422,La leggenda del pianista sull'oceano,1998,8.0,169,"Drama, Music, Romance"
423,Mou gaan dou,2002,8.0,101,"Action, Crime, Drama"
424,Il gattopardo,1963,8.0,186,"Drama, History"
425,Zerkalo,1975,8.0,107,"Biography, Drama"
426,Secrets & Lies,1996,8.0,136,"Comedy, Drama"
427,Touch of Evil,1958,8.0,95,"Crime, Drama, Film-Noir"
428,Anatomy of a Murder,1959,8.0,161,"Drama, Mystery"
429,Out of the Past,1947,8.0,97,"Crime, Drama, Film-Noir"
430,The Hustler,1961,8.0,134,"Drama, Sport"
431,Fitzcarraldo,1982,8.0,158,"Adventure, Drama"
432,Song of the Sea,2014,8.0,93,"Animation, Adventure, Drama"
433,Kaguya-hime no monogatari,2013,8.0,137,"Animation, Drama, Family"
434,Tropa de Elite,2007,8.0,115,"Action, Crime, Drama"
435,Stalag 17,1953,8.0,120,"Comedy, Drama, War"
436,Le scaphandre et le papillon,2007,8.0,112,"Biography, Drama"
437,Yeopgijeogin geunyeo,2001,8.0,137,"Comedy, Drama, Romance"
438,Mar adentro(I),I 2004,8.0,126,"Biography, Drama"
439,Nostalgia,1983,8.0,125,Drama
440,Okuribito,2008,8.0,130,Drama
441,Persepolis,2007,8.0,96,"Animation, Biography, Drama"
442,Le Samouraï,1967,8.0,105,"Crime, Drama"
443,Dare mo shiranai,2004,8.0,141,Drama
444,"Crna macka, beli macor",1998,8.0,127,"Comedy, Crime, Romance"
445,Sleuth,1972,8.0,138,"Mystery, Thriller"
446,Ahlat Agaci,2018,8.0,188,Drama
447,Brief Encounter,1945,8.0,86,"Drama, Romance"
448,Dilwale Dulhania Le Jayenge,1995,8.0,189,"Drama, Romance"
449,Bom yeoreum gaeul gyeoul geurigo bom,2003,8.0,103,"Drama, Romance"
450,Au revoir les enfants,1987,8.0,104,"Drama, War"
451,La Strada,1954,8.0,108,Drama
452,"Quo vadis, Aida?",2020,8.0,101,"Drama, History, War"
453,Viskningar och rop,1972,8.0,91,Drama
454,Ivanovo detstvo,1962,8.0,95,"Drama, War"
455,G.O.R.A.,2004,8.0,127,"Adventure, Comedy, Sci-Fi"
456,El ángel exterminador,1962,8.0,95,"Drama, Fantasy"
457,Tropa de Elite 2: O Inimigo Agora é Outro,2010,8.0,115,"Action, Crime, Drama"
458,The Shop Around the Corner,1940,8.0,99,"Comedy, Drama, Romance"
459,Taegukgi hwinalrimyeo,2004,8.0,140,"Action, Drama, War"
460,Central do Brasil,1998,8.0,110,Drama
461,Haider,2014,8.0,160,"Action, Crime, Drama"
462,Kind Hearts and Coronets,1949,8.0,106,"Comedy, Crime"
463,Sanjuro,1962,8.0,96,"Action, Drama, Thriller"
464,Roma città aperta,1945,8.0,103,"Drama, Thriller, War"
465,Nattvardsgästerna,1963,8.0,81,Drama
466,Lage Raho Munna Bhai,2006,8.0,144,"Comedy, Drama, Romance"
467,Vizontele,2001,8.0,110,"Comedy, Drama"
468,Andaz Apna Apna,1994,8.0,160,"Action, Comedy, Romance"
469,Nefes: Vatan Sagolsun,2009,8.0,128,"Action, Drama, Thriller"
470,Special Chabbis,2013,8.0,144,"Crime, Drama, Thriller"
471,Everything Everywhere All at Once,2022,7.9,139,"Action, Adventure, Comedy"
472,Puss in Boots: The Last Wish,2022,7.9,102,"Animation, Adventure, Comedy"
473,Titanic,1997,7.9,194,"Drama, Romance"
474,Knives Out,2019,7.9,130,"Comedy, Crime, Drama"
475,Avatar,2009,7.9,162,"Action, Adventure, Fantasy"
476,Mulholland Dr.,2001,7.9,147,"Drama, Mystery, Thriller"
477,Bohemian Rhapsody,2018,7.9,134,"Biography, Drama, Music"
478,The Bourne Identity,2002,7.9,119,"Action, Mystery, Thriller"
479,Harry Potter and the Prisoner of Azkaban,2004,7.9,142,"Adventure, Family, Fantasy"
480,Boogie Nights,1997,7.9,155,Drama
481,Arrival(II),II 2016,7.9,116,"Drama, Mystery, Sci-Fi"
482,Iron Man,2008,7.9,126,"Action, Adventure, Sci-Fi"
483,In Bruges,2008,7.9,107,"Comedy, Crime, Drama"
484,Shrek,2001,7.9,90,"Animation, Adventure, Comedy"
485,Jojo Rabbit,2019,7.9,108,"Comedy, Drama, War"
486,The Ten Commandments,1956,7.9,220,"Adventure, Drama, Family"
487,The Perks of Being a Wallflower,2012,7.9,103,Drama
488,Edge of Tomorrow,2014,7.9,113,"Action, Adventure, Sci-Fi"
489,Almost Famous,2000,7.9,122,"Adventure, Comedy, Drama"
490,Fantastic Mr. Fox,2009,7.9,87,"Animation, Adventure, Comedy"
491,True Romance,1993,7.9,119,"Crime, Drama, Romance"
492,Star Trek,2009,7.9,127,"Action, Adventure, Sci-Fi"
493,Children of Men,2006,7.9,109,"Action, Drama, Sci-Fi"
494,Wonder(I),I 2017,7.9,113,"Drama, Family"
495,E.T. the Extra-Terrestrial,1982,7.9,115,"Adventure, Family, Sci-Fi"
496,The Big Sleep,1946,7.9,114,"Crime, Film-Noir, Mystery"
497,District 9,2009,7.9,112,"Action, Sci-Fi, Thriller"
498,Thor: Ragnarok,2017,7.9,130,"Action, Adventure, Comedy"
499,Shaun of the Dead,2004,7.9,99,"Comedy, Horror"
500,Mystic River,2003,7.9,138,"Crime, Drama, Mystery"
501,X-Men: Days of Future Past,2014,7.9,132,"Action, Adventure, Sci-Fi"
502,Marriage Story,2019,7.9,137,"Drama, Romance"
503,Life of Pi,2012,7.9,127,"Adventure, Drama, Fantasy"
504,The Blues Brothers,1980,7.9,133,"Action, Adventure, Comedy"
505,Edward Scissorhands,1990,7.9,105,"Drama, Fantasy, Romance"
506,The Wild Bunch,1969,7.9,145,"Action, Adventure, Drama"
507,Dallas Buyers Club,2013,7.9,117,"Biography, Drama"
508,The Man from Earth,2007,7.9,87,"Drama, Fantasy, Mystery"
509,This Is Spinal Tap,1984,7.9,82,"Comedy, Music"
510,The Searchers,1956,7.9,119,"Adventure, Drama, Western"
511,Boyhood(I),I 2014,7.9,165,Drama
512,Wo hu cang long,2000,7.9,120,"Action, Adventure, Drama"
513,Mildred Pierce,1945,7.9,111,"Crime, Drama, Film-Noir"
514,Spartacus,1960,7.9,197,"Adventure, Biography, Drama"
515,The Wrestler,2008,7.9,109,"Drama, Sport"
516,Toy Story 2,1999,7.9,92,"Animation, Adventure, Comedy"
517,Carlito's Way,1993,7.9,144,"Crime, Drama, Thriller"
518,Brazil,1985,7.9,132,"Drama, Sci-Fi"
519,All the President's Men,1976,7.9,138,"Drama, History, Thriller"
520,Charade,1963,7.9,113,"Comedy, Mystery, Romance"
521,A Streetcar Named Desire,1951,7.9,122,Drama
522,The Nightmare Before Christmas,1993,7.9,76,"Animation, Family, Fantasy"
523,Nosferatu,1922,7.9,94,"Fantasy, Horror"
524,The Manchurian Candidate,1962,7.9,126,"Drama, Thriller"
525,Låt den rätte komma in,2008,7.9,114,"Drama, Fantasy, Horror"
526,Per un pugno di dollari,1964,7.9,99,"Action, Drama, Western"
527,Serbuan maut 2: Berandal,2014,7.9,150,"Action, Crime, Thriller"
528,Strangers on a Train,1951,7.9,101,"Crime, Drama, Film-Noir"
529,Kôkaku kidôtai,1995,7.9,83,"Animation, Action, Crime"
530,Doctor Zhivago,1965,7.9,197,"Drama, Romance, War"
531,Bound by Honor,1993,7.9,180,"Crime, Drama"
532,Before Midnight,2013,7.9,109,"Drama, Romance"
533,Sing Street,2016,7.9,106,"Comedy, Drama, Music"
534,Dancer in the Dark,2000,7.9,140,"Crime, Drama, Musical"
535,Letters from Iwo Jima,2006,7.9,141,"Action, Adventure, Drama"
536,Ying xiong,2002,7.9,120,"Action, Adventure, Drama"
537,Trois couleurs: Bleu,1993,7.9,94,"Drama, Music, Mystery"
538,King Kong,1933,7.9,100,"Adventure, Horror, Sci-Fi"
539,The Artist(I),I 2011,7.9,100,"Comedy, Drama, Romance"
540,Harold and Maude,1971,7.9,91,"Comedy, Drama, Romance"
541,Patton,1970,7.9,172,"Biography, Drama, War"
542,Once Were Warriors,1994,7.9,102,"Crime, Drama"
543,In the Heat of the Night,1967,7.9,110,"Drama, Mystery, Thriller"
544,Manbiki kazoku,2018,7.9,121,"Crime, Drama, Thriller"
545,Togo,2019,7.9,113,"Adventure, Biography, Drama"
546,A Christmas Story,1983,7.9,93,"Comedy, Family"
547,Taeksi woonjunsa,2017,7.9,137,"Action, Drama, History"
548,The Killing,1956,7.9,84,"Crime, Drama, Film-Noir"
549,The Lion in Winter,1968,7.9,134,"Biography, Drama, History"
550,Mimi wo sumaseba,1995,7.9,111,"Animation, Drama, Family"
551,Notorious,1946,7.9,102,"Drama, Film-Noir, Romance"
552,Cat on a Hot Tin Roof,1958,7.9,108,Drama
553,Rope,1948,7.9,80,"Crime, Drama, Mystery"
554,Arsenic and Old Lace,1944,7.9,118,"Comedy, Crime, Thriller"
